index,full_count_name,full_count,full_count_pos_name,full_count_pos,full_count_neg_name,full_count_neg,florida_count_name,florida_count,florida_count_pos_name,florida_count_pos,florida_count_neg_name,florida_count_neg,japan_count_name,japan_count,japan_count_pos_name,japan_count_pos,japan_count_neg_name,japan_count_neg,singapore_count_name,singapore_count,singapore_count_pos_name,singapore_count_pos,singapore_count_neg_name,singapore_count_neg
37,power of pop unlimited,416,battlestar galactica: cylon,306.0,revenge of the mummy: the ride,79.0,ika moana of the honu ika moana,11.0,the amazing adventures of spider-man,8.0,popeye & bluto's bilge-rat barges,4.0,frog choir,31.0,ernie's rubber ducker race,20.0,cookie monster slide,6.0,,,,,,
38,abby's magical tree,394,bert & ernie's wonder: the sea,306.0,wand magic,69.0,the amazing adventures of spider-man,10.0,ika moana of the honu ika moana,7.0,the amazing adventures of spider-man,2.0,grover's construction company,30.0,grover's construction company,18.0,sesame's big drive,5.0,,,,,,
39,minion rally,373,the flying dinosaur,299.0,the flying dinosaur,67.0,honu of the honu ika moana,7.0,honu of the honu ika moana,5.0,pteranodon flyers,2.0,elmo's little drive,21.0,elmo's little drive,16.0,elmo's little drive,5.0,,,,,,
40,the flying dinosaur,366,canopy flyer,278.0,flight of the hippogriff,60.0,runamukka reef,4.0,the reef,3.0,honu of the honu ika moana,2.0,sesame's big drive,21.0,sesame's big drive,16.0,jurassic park - the ride,4.0,,,,,,
41,battlestar galactica: cylon,357,minion rally,278.0,despicable me: minion mayhem,59.0,the reef,4.0,runamukka reef,3.0,runamukka reef,1.0,mario kart: koopa's challenge,18.0,mario kart: koopa's challenge,15.0,mario kart: koopa's challenge,3.0,,,,,,
42,ko'okiri body plunge,356,storm force accelatron,269.0,bert & ernie prop shop game place,57.0,pteranodon flyers,3.0,pteranodon flyers,1.0,the reef,1.0,banana cabana,13.0,banana cabana,11.0,banana cabana,2.0,,,,,,
43,canopy flyer,319,puss in boots' giant journey,248.0,skull island: reign of kong,54.0,the simpsons ride,1.0,the simpsons ride,1.0,,,elmo's bubble bubble,12.0,playing with curious george,10.0,playing with curious george,2.0,,,,,,
44,hollywood dream - the ride: backdrop,287,ko'okiri body plunge,248.0,battlestar galactica: cylon,51.0,,,,,,,playing with curious george,12.0,elmo's bubble bubble,10.0,elmo's bubble bubble,2.0,,,,,,
45,despicable me: minion mayhem,287,hollywood dream - the ride: backdrop,244.0,abby's magical tree,50.0,,,,,,,festival in the park,6.0,festival in the park,6.0,water garden,1.0,,,,,,
46,puss in boots' giant journey,273,despicable me: minion mayhem,228.0,jurassic park river adventure,50.0,,,,,,,water garden,5.0,water garden,4.0,big bird's big top circus,1.0,,,,,,
47,sesame street 4-d movie magic,250,lake hollywood spectacular,224.0,teawa the fearless river,47.0,,,,,,,42nd street studio: greeting gallery,4.0,42nd street studio: greeting gallery,4.0,,,,,,,,
48,hello kitty's cupcake dream,246,sesame street 4-d movie magic,213.0,triwizard spirit rally,45.0,,,,,,,amity boardwalk games,4.0,amity boardwalk games,4.0,,,,,,,,
49,lake hollywood spectacular,243,hello kitty's cupcake dream,206.0,shrek 4-d adventure,43.0,,,,,,,minions greeting,4.0,minions greeting,4.0,,,,,,,,
50,wand studies,236,magic potion spin,201.0,amber rock climb,43.0,,,,,,,elmo's go-go skateboard,3.0,elmo's go-go skateboard,3.0,,,,,,,,
51,magic potion spin,231,jurassic park rapids adventure,201.0,hollywood dream - the ride: backdrop,43.0,,,,,,,the amazing adventures of spider-man 4k3d - the ride,1.0,the amazing adventures of spider-man 4k3d - the ride,1.0,,,,,,,,
52,jurassic park rapids adventure,227,wand studies,197.0,power-up band key challenges,42.0,,,,,,,big bird's big top circus,1.0,moppy's ballon trip,1.0,,,,,,,,
53,bert & ernie prop shop game place,225,moppy's lucky dance party,178.0,canopy flyer,41.0,,,,,,,moppy's ballon trip,1.0,,,,,,,,,,
